group,address_text,ref,rooms,session,source
EXAM BUILDINGS,1 Central Courtyard,L18,Room 203; Room 204; Room 205; Room 207; Room 208; Room 214; Room 215; Room 216; Room 217,"Session 2, 2024",MQ Exam Map (S2 2024)
Library Quiet Rooms (Q Rooms),16 Macquarie Walk,R17,Room Q1.01; Room Q1.02; Room Q1.03; Room Q1.04; Room Q1.05; Room Q1.06; Room Q1.07; Room Q1.08; Room Q1.09; Room Q2.07; Room Q2.08; Room Q2.09,"Session 2, 2024",MQ Exam Map (S2 2024)
Library Quiet Rooms (Q Rooms),4 Research Park Drive,O26,Room 111 PC Lab; Room 112 PC Lab; Room 113 PC Lab; Room 114 PC Lab; Room 115 PC Lab; Room G11 PC Lab; Room G13 PC Lab; Room G14 PC Lab; Room G15 PC Lab,"Session 2, 2024",MQ Exam Map (S2 2024)
Library Quiet Rooms (Q Rooms),14 Sir Christopher Ondaatje Ave,N20,"Room 200; Room 263; Room 264; Hall, Ground Floor","Session 2, 2024",MQ Exam Map (S2 2024)
Library Quiet Rooms (Q Rooms),11 Wally’s Walk,N21,Room 110/120; Room 130; Room 140; Room 142; Room 144; Room 146; Room 150/160; Room 152; Room 154; Room 156; Room 170/180,"Session 2, 2024",MQ Exam Map (S2 2024)
Library Quiet Rooms (Q Rooms),6 Eastern Road,Q22,Room 104 PC Lab; Room 118 PC Lab; Room 119 PC Lab; Room 206 PC Lab; Room 208 PC Lab; Room 214 PC Lab; Room 215 PC Lab; Room 306 PC Lab; Room 308; Room 314; Room 316,"Session 2, 2024",MQ Exam Map (S2 2024)
Library Quiet Rooms (Q Rooms),12 Second Way,P16,Room 201; Room 204; Room 225; Room 226/229; Room 232; Room 301; Room 304; Room 307; Room 310; Room 401; Room 404; Room 407; Room 430; Room 435,"Session 2, 2024",MQ Exam Map (S2 2024)
Library Quiet Rooms (Q Rooms),23 Wally’s Walk,O14,Room 101; Room 103; Room 105; Room 201; Room 203; Room 205,"Session 2, 2024",MQ Exam Map (S2 2024)
Library Quiet Rooms (Q Rooms),25 Wally’s Walk,O13,Room A105; Room A106; Room A109; Room A110; Room A111; Room A112; Room A113; Room A114; Room A204; Room A207; Room A208; Room A209; Room A210; Room A211; Room GA05; Room GA06; Room GA08; Room GA09; Room GB30; Room GB31,"Session 2, 2024",MQ Exam Map (S2 2024)
Library Quiet Rooms (Q Rooms),27 Wally’s Walk,O12,Lotus Theatre,"Session 2, 2024",MQ Exam Map (S2 2024)
Library Quiet Rooms (Q Rooms),4 Western Road,P14,Room 211; Room 213; Room 220; Room 232; Room 302; Room 303; Room 309; Room 310; Room 311; Room 312; Room 320; Room 332; Room 333; Room 334; Room 335,"Session 2, 2024",MQ Exam Map (S2 2024)
